<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p04/d3435	Tom grabbed Mary's arm and pulled her towards the door. 	"male.n.02 Name ""Tom"" grab.v.05 Agent -1 Time +1 Theme +3 time.n.08 TPR now female.n.02 Name ""Mary"" arm.n.01 PartOf -1 pull.v.01 Agent -5 Time +1 Theme +2 Destination +3 time.n.08 TPR now female.n.02 ANA -4 door.n.01"												
p64/d3149	That boy who is speaking English is taller than I. 	boy.n.01 time.n.08 EQU now speak.v.03 Agent -2 Time -1 Theme +1 english.n.01 time.n.08 EQU now tall.a.01 AttributeOf -5 Time -1 Degree +1 more.r.01 Theme -6 Co-Theme +1 person.n.01 EQU speaker												
p05/d1601	She is called Mei. She is cooking in the kitchen. 	"female.n.02 time.n.08 EQU now call.v.01 Theme -2 Time -1 Result +1 name.n.01 EQU ""Mei"" CONTINUATION <1 female.n.02 ANA -4 time.n.08 EQU now cook.v.01 Agent -2 Time -1 Location +1 kitchen.n.01"												
p74/d0808	I was driving at 120 kilometers per hour when the police stopped me. 	person.n.01 EQU speaker time.n.08 TPR now drive.v.02 Theme -2 Time -1 Value +3 quantity.n.01 EQU 120 kilometer.n.01 Quantity -1 division.n.11 Theme -1 Co-Theme +1 hour.n.01 Quantity 1 police.n.01 stop.v.05 Agent -1 TIN -6 Time +1 Patient +2 time.n.08 TPR now person.n.01 EQU speaker												
p59/d2379	I was born on the 18th of March 1994. 	person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Time +1 time.n.08 DayOfMonth 18 MonthOfYear 3 EQU +2 time.n.08 EQU -1 time.n.08 YearOfCentury 1994												
p80/d1632	If he is proficient in English, I'll employ him. 	male.n.02 time.n.08 EQU now proficient.a.02 AttributeOf -2 Time -1 Theme +1 english.n.01 CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now employ.v.02 Agent -2 Time -1 Theme +1 male.n.02 ANA -7												
p62/d2653	A typical Bavarian breakfast consists of white sausage, wheat beer and pretzels. 	"NEGATION <1 typical.a.01 AttributeOf +2 state.n.01 Name ""bavaria"" breakfast.n.01 Source -1 NEGATION <1 consist.v.04 Theme -1 Time +1 Attribute +5 time.n.08 EQU now white.a.01 sausage.n.01 Colour -1 wheat_beer.n.01 entity.n.01 Sub -2 Sub -1 Sub +1 pretzel.n.01"												
p20/d2434	I'm fed up with this winter, I want spring right now! 	person.n.01 EQU speaker time.n.08 EQU now fed_up.a.01 Experiencer -2 Time -1 Stimulus +1 winter.n.01 CONTINUATION <1 person.n.01 EQU speaker want.v.01 Pivot -1 Time +1 Theme +2 Time +3 time.n.08 EQU now spring.n.01 time.n.08 EQU now												
p05/d1599	The national Brukenthal Museum is the first museum that opened officially in Romania. 	"national.a.01 AttributeOf +1 museum.n.01 Name ""Brukenthal Museum"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now museum.n.01 Order 1 open.v.02 Patient -1 Time +1 Manner +2 Location +3 time.n.08 TPR now officially.r.02 country.n.02 Name ""Romania"""												
p93/d3554	The natural sciences are harder than the social sciences. 	natural_science.n.01 time.n.08 EQU now hard.a.01 AttributeOf -2 Time -1 Degree +1 more.r.01 Theme -3 Co-Theme +1 social_science.n.01												
p60/d2992	Anyone who is not shocked by quantum theory has not understood it. 	NEGATION <1 person.n.01 EQU +1 entity.n.01 time.n.08 EQU now NEGATION <1 shocked.a.01 Experiencer -2 Time -1 Stimulus +1 CONJUNCTION <3 quantum_theory.n.01 NEGATION <3 time.n.08 TPR now NEGATION <1 understand.v.01 Experiencer -6 Time -1 Stimulus +1 entity.n.01 ANA -3												
p63/d1248	The body was discovered in a warehouse in the North East of the city. 	body.n.03 time.n.08 TPR now discover.v.01 Theme -2 Time -1 Location +1 warehouse.n.01 Location +1 northeast.n.04 Of +1 city.n.01												
p40/d1918	I grabbed my little sister's hand, and the two of us started to run. 	person.n.01 EQU speaker time.n.08 TPR now grab.n.02 Agent -2 Time -1 Theme +4 person.n.01 EQU speaker person.n.01 User -1 Role +1 little_sister.n.01 hand.n.01 PartOf -2 CONTINUATION <1 entity.n.01 Quantity +1 SubOf +2 quantity.n.01 EQU 2 person.n.01 Sub speaker start.v.01 Time +1 PartOf +2 time.n.08 TPR now run.v.01 Theme -5												
p05/d0890	I was born in Barcelona on March 23, 1969. 	"person.n.01 EQU speaker time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 Time +3 city.n.01 Name ""Barcelona"" time.n.08 MonthOfYear 3 EQU +1 time.n.08 DayOfMonth 23 EQU +1 time.n.08 YearOfCentury 1969"												
p86/d3167	Treasure chests abound in the dungeon, but so do horrible monsters. 	treasure_chest.n.01 abound.v.01 Theme -1 Time +1 Location +2 time.n.08 EQU now dungeon.n.01 CONTRAST <1 abound.v.01 Time +1 Theme +3 Location +4 time.n.08 EQU now horrible.a.01 AttributeOf +1 monster.n.01 dungeon.n.01												
p66/d1394	How many Olympic gold medals did Carl Lewis win? 	"olympic.a.01 AttributeOf +1 gold_medal.n.01 Quantity ? time.n.08 TPR now male.n.02 Name ""Carl Lewis"" win.v.01 Theme -3 Time -2 Agent -1"												
p55/d1232	The indictment contains 875 pages. The trial is expected to last several years. 	indictment.n.01 contain.v.01 Pivot -1 Time +1 Theme +3 time.n.08 EQU now quantity.n.01 EQU 875 page.n.01 Quantity -1 CONTINUATION <1 trial.n.04 time.n.08 EQU now expect.v.01 Theme -2 Time -1 Attribute +1 last.v.01 Theme -3 Duration +1 year.n.01 Quantity +												
p86/d3353	Tom is by no means unintelligent. He is just lazy. 	"male.n.02 Name ""Tom"" NEGATION <1 time.n.08 EQU now unintelligent.a.01 AttributeOf -2 Time -1 CONTINUATION <1 male.n.02 ANA -3 time.n.08 EQU now just.r.01 lazy.a.02 AttributeOf -3 Time -2 Manner -1"												
p54/d1856	I got a lot of insect bites in the woods. 	person.n.01 EQU speaker get.v.35 Experiencer -1 Time +1 Stimulus +2 Location +4 time.n.08 TPR now entity.n.01 Quantity + EQU +1 insect_bite.n.01 wood.n.02												
p72/d3219	There were more than fifty girls at the party. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +4 Location +5 time.n.08 TPR now quantity.n.01 MOR +1 quantity.n.01 EQU 50 girl.n.01 Quantity -2 party.n.04												
p50/d3043	My wife has faults. None the less, I love her. 	person.n.01 EQU speaker person.n.01 Role +1 wife.n.01 Of -2 have.v.02 Pivot -2 Time +1 Theme +2 time.n.08 EQU now fault.n.03 CONTINUATION <1 person.n.01 EQU speaker love.v.03 Experiencer -1 Time +1 Stimulus +2 time.n.08 EQU now female.n.02 ANA -8												
p76/d2410	A lot of people are dealing with hay fever now. 	entity.n.01 Quantity + EQU +1 person.n.01 time.n.08 EQU now deal.v.04 Agent -3 Time -1 Theme +1 Time +2 hay_fever.n.01 time.n.08 EQU now												
p98/d1547	The driver advised us to fasten our seat belts. 	person.n.01 Role +1 driver.n.01 advise.v.01 Agent -2 Time +1 Recipient +2 Topic +3 time.n.08 TPR now person.n.01 Sub speaker fasten.v.01 Agent -1 Patient +2 person.n.01 Sub speaker seat_belt.n.01 User -1												
p01/d1556	The war in Iraq broke out ten years ago. 	"war.n.01 Location +1 country.n.02 Name ""Iraq"" break_out.v.01 Theme -2 Time +1 Time +4 time.n.08 TPR now quantity.n.01 EQU 10 year.n.01 Quantity -1 TAB now time.n.08 TAB -1"												
p63/d1788	We're now about a hundred miles away from Boston. 	"person.n.01 Sub speaker time.n.08 EQU now quantity.n.01 APX +1 quantity.n.01 EQU 100 mile.n.01 Quantity -2 away.r.05 Attribute -5 Time -4 Value -1 Theme +1 city.n.01 Name ""Boston"""												
p38/d2520	It took us two hours to get to Athens. 	"time.n.08 TPR now person.n.01 Sub speaker quantity.n.01 EQU 2 hour.n.01 Quantity -1 get.v.05 Time -4 Theme -3 Duration -1 Destination +1 city.n.01 Name ""Athens"""												
p16/d1211	The king himself invited the colonists to his land. 	person.n.01 Role +1 king.n.01 male.n.02 EQU -2 invite.v.06 Agent -1 Time +1 Theme +2 Destination +5 time.n.08 TPR now person.n.01 Role +1 colonist.n.01 male.n.02 ANA -5 land.n.03 User -1												
p88/d1382	What is the name of the country in the Pyrenees mountains between France and Spain? 	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now name.n.01 Bearer +1 country.n.02 Location +1 Location +3 mountain.n.01 Name ""Pyrenees"" mountain.n.01 EQU -1 location.n.01 SY2 +2 country.n.02 Name ""France"" entity.n.01 Sub -1 Sub +1 country.n.02 Name ""Spain"""												
p16/d1879	He is tall, but his brother is much taller. 	male.n.02 time.n.08 EQU now tall.a.01 Time -1 Value + AttributeOf -2 CONTRAST <1 male.n.02 ANA -3 person.n.01 Role +1 brother.n.01 Of -2 time.n.08 EQU now measure.n.02 Quantity + tall.a.01 AttributeOf -4 Time -2 Degree +1 more.r.01 Theme -5 Value -2												
p20/d0238	The committee is composed of three men and seven women. 	committee.n.01 time.n.08 EQU now compose.v.01 Theme -2 Time -1 Attribute +3 quantity.n.01 EQU 3 man.n.01 Quantity -1 entity.n.01 Sub -1 Sub +2 quantity.n.01 EQU 7 woman.n.01 Quantity -1												
p86/d2196	Tom unbuckled his seat belt and got out of the car. 	"male.n.02 Name ""Tom"" unbuckle.v.01 Agent -1 Time +1 Patient +3 time.n.08 TPR now male.n.02 ANA -3 seat_belt.n.01 User -1 get_out.v.01 Theme -5 Time +1 Source +2 time.n.08 TPR now car.n.01"												
p76/d1545	The river that flows through London is the Thames. 	"river.n.01 flow.v.01 Theme -1 Time +1 Path +2 time.n.08 EQU now city.n.01 Name ""London"" be.v.02 Theme -4 Time +1 Co-Theme +2 time.n.08 EQU now river.n.01 Name ""Thames"""												
p04/d2620	He's two years older than me, but he's shorter. 	male.n.02 time.n.08 EQU now quantity.n.01 EQU 2 year.n.01 Quantity -1 old.a.01 AttributeOf -4 Time -3 Degree +1 more.r.01 Theme -5 Value -2 Co-Theme +1 person.n.01 EQU speaker CONTRAST <1 male.n.02 ANA -7 time.n.08 EQU now short.a.03 AttributeOf -2 Time -1 Degree +1 more.r.01 Theme -3												
p88/d2496	My parents pushed me to quit the baseball club. 	person.n.01 EQU speaker person.n.01 Role +1 parent.n.01 Of -2 push.v.02 Agent -2 Time +1 Patient +2 Result +3 time.n.08 TPR now person.n.01 EQU speaker quit.v.02 Agent -1 Theme +1 baseball_club.n.01												
p07/d0824	I always buy fresh vegetables instead of frozen ones. 	NEGATION <1 time.n.08 NEGATION <1 person.n.01 EQU speaker buy.v.01 Agent -1 Time +1 Theme +3 time.n.08 EQU now fresh.a.01 AttributeOf +1 vegetable.n.01 NEGATION <1 entity.n.01 EQU -4 Theme +2 frozen.a.05 AttributeOf +1 vegetable.n.01												
p90/d3065	I cannot wipe the table. I don't have a cloth. 	person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 wipe.v.01 Agent -1 Source +1 table.n.02 CONTINUATION <1 person.n.01 EQU speaker NEGATION <1 time.n.08 EQU now have.v.04 Pivot -2 Time -1 Theme +1 cloth.n.01												
p13/d0044	The little girl is looking at a man in costume 	little.a.03 AttributeOf +1 girl.n.02 time.n.08 EQU now look.v.01 Experiencer -2 Time -1 Stimulus +1 man.n.01 User +1 costume.n.01												
p41/d2734	The siblings fought tooth and nail over their late father's estate. 	person.n.01 Role +1 sibling.n.01 fight.v.02 Agent -2 Time +1 Manner +2 Theme +7 time.n.08 TPR now tooth_and_nail.r.01 person.n.01 late.a.04 AttributeOf +1 person.n.01 Role +1 father.n.01 Creator -3 estate.n.01 User -2												
p17/d2739	His house is at the foot of Mt. Fuji. 	"male.n.02 house.n.01 User -1 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now foot.n.03 PartOf +1 mountain.n.01 Name ""Mt. Fuji"""												
p00/d0955	If you don't like it then you can quit. 	person.n.01 EQU hearer time.n.08 EQU now NEGATION <1 like.v.02 Experiencer -2 Time -1 Stimulus +1 entity.n.01 CONSEQUENCE <2 person.n.01 EQU hearer POSSIBILITY <1 quit.v.01 Agent -1												
p35/d2866	Tom's car was rear-ended and he suffered a whiplash injury. 	"male.n.02 Name ""Tom"" car.n.01 User -1 time.n.08 TPR now rear-end.v.01 Patient -2 Time -1 CONTINUATION <1 male.n.02 ANA -4 suffer.v.02 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now whiplash.n.01 injury.n.01 EQU -1"												
p65/d2528	I was in the hospital for a few days. 	person.n.01 EQU speaker be.v.03 Theme -1 Time +1 Location +2 Duration +3 time.n.08 TPR now hospital.n.01 day.n.01 Quantity -												
p00/d2718	Tom can't speak French. Tom can't speak Spanish either. 	"male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 french.n.01 CONTINUATION <1 male.n.02 Name ""Tom"" NEGATION <1 POSSIBILITY <1 speak.v.03 Agent -1 Theme +1 spanish.n.01"												
p02/d3066	Tom digitized an old family photo and emailed it to his mother. 	"male.n.02 Name ""Tom"" digitize.v.01 Agent -1 Time +1 Theme +4 time.n.08 TPR now old.a.02 Value + family.n.01 photo.n.01 Attribute -2 Theme -1 email.v.01 Agent -6 Time +1 Theme +2 Destination +4 time.n.08 TPR now entity.n.01 ANA -3 male.n.02 ANA -9 person.n.01 Role +1 mother.n.01 Of -2"												
p40/d2005	There's a ton of dust on top of the fan blades. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +3 Location +5 time.n.08 EQU now ton.n.01 entity.n.01 Sub -1 Sub +1 dust.n.01 top.n.01 Of +1 fan_blade.n.01												
p72/d2160	Edu has more or less a thousand gay friends. 	"male.n.02 Name ""Edu"" have.v.07 Pivot -1 Time +1 Theme +4 time.n.08 EQU now quantity.n.01 APX 1000 gay.a.06 AttributeOf +1 person.n.01 Quantity -2 Role +1 friend.n.01"												
p03/d0922	The park is located in the center of the city. 	park.n.02 time.n.08 EQU now located.a.01 Theme -2 Time -1 Location +1 center.n.01 PartOf +1 city.n.01												
p07/d3318	The concert starts at seven. We must not be late. 	concert.n.01 start.v.02 Theme -1 Time +1 Time +2 time.n.08 TSU now time.n.08 ClockTime 19:00 CONTINUATION <1 person.n.01 Sub speaker NECESSITY <1 NEGATION <1 late.a.01 AttributeOf -1												
p06/d3132	It was very expensive; in fact, I paid 100 dollars. 	entity.n.01 time.n.08 TPR now very.r.01 expensive.a.01 AttributeOf -3 Time -2 Degree -1 CONTINUATION <1 in_fact.r.01 person.n.01 EQU speaker pay.v.01 Context -2 Agent -1 Time +1 Asset +3 time.n.08 TPR now quantity.n.01 EQU 100 dollar.n.01 Quantity -1												
p36/d3164	They urged him in vain to sell them his prosperous firm. 	person.n.01 urge.v.01 Agent -1 Time +1 Patient +2 Manner +3 Topic +4 time.n.08 TPR now male.n.02 in_vain.r.01 sell.v.01 Recipient -5 Agent -2 Theme +4 person.n.01 EQU -6 male.n.02 ANA -4 prosperous.a.01 AttributeOf +1 firm.n.01 User -2												
p72/d0129	If you had a time machine, where would you go? 	person.n.01 EQU hearer have.v.01 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now time_machine.n.01 CONSEQUENCE <1 location.n.01 Name ? time.n.08 TSU now person.n.01 EQU hearer go.v.01 Location -3 Time -2 Theme -1												
p35/d0893	The potato was so hot that it burned my mouth. 	potato.n.01 time.n.08 TPR now hot.a.01 Time -1 Value + AttributeOf -2 RESULT <1 entity.n.01 ANA -3 burn.v.04 Causer -1 Time +1 Patient +3 time.n.08 TPR now person.n.01 EQU speaker mouth.n.01 PartOf -1												
p33/d3166	She stirred her tea with a little gold spoon. 	female.n.02 stir.v.01 Agent -1 Time +1 Patient +3 Instrument +6 time.n.08 TPR now female.n.02 EQU -3 tea.n.01 User -1 little.a.01 AttributeOf +2 gold.n.03 spoon.n.01 MadeOf -1												
p14/d1445	She went into the room and lay on the bed. 	female.n.02 go.v.01 Theme -1 Time +1 Destination +2 time.n.08 TPR now room.n.01 lie.v.02 Theme -4 Time +1 Location +2 time.n.08 TPR now bed.n.02												
p65/d0846	She was disqualified from the race for two false starts. 	female.n.02 time.n.08 TPR now disqualify.v.02 Theme -2 Time -1 Source +1 Causer +4 race.n.02 quantity.n.01 EQU 2 false.a.03 AttributeOf +1 start.n.08 Quantity -2												
p42/d1891	Tom was very attached to the golf clubs that his father had given him. 	"male.n.02 Name ""Tom"" time.n.08 TPR now very.r.01 attached.a.04 Experiencer -3 Time -2 Degree -1 Stimulus +1 golf_club.n.02 male.n.02 ANA -5 person.n.01 Role +1 father.n.01 Of -2 give.v.01 Theme -4 Agent -2 Time +1 Recipient +2 time.n.08 TPR now male.n.02 ANA -10"												
p02/d2467	The boat was tied to the shore by a cable. 	boat.n.01 time.n.08 TPR now tie.v.01 Patient -2 Time -1 Co-Patient +1 Instrument +2 shore.n.01 cable.n.03												
p60/d3120	Cat Stevens is not a cat. He's a singer. 	"male.n.02 Name ""Cat Stevens"" NEGATION <1 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now cat.n.01 CONTINUATION <1 male.n.02 ANA -4 be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 singer.n.01"												
p23/d2114	Everyone was dressed in a beautiful kimono at the party. 	NEGATION <1 person.n.01 time.n.08 TPR now NEGATION <1 dress.v.01 Patient -2 Time -1 Theme +2 Location +3 beautiful.a.01 AttributeOf +1 kimono.n.01 party.n.04												
p05/d2956	The air we breathe consists of oxygen and nitrogen. 	air.n.01 person.n.01 breathe.v.01 Theme -2 Agent -1 Time +1 time.n.08 EQU now consist.v.04 Theme -4 Time +1 Attribute +3 time.n.08 EQU now oxygen.n.01 entity.n.01 Sub -1 Sub +1 nitrogen.n.01												
p12/d1557	Is it true that you bought a house in London? 	"time.n.08 EQU now entity.n.01 true.a.01 Time -2 Proposition >1 EQU -1 CONTINUATION <0 person.n.01 EQU hearer buy.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now house.n.01 Location +1 city.n.01 Name ""London"""												
p08/d2954	Is it true that Tom and Mary are dating? 	"time.n.08 EQU now entity.n.01 true.a.01 Time -2 Proposition >1 EQU -1 CONTINUATION <0 male.n.02 Name ""Tom"" entity.n.01 Sub -1 Sub +1 female.n.02 Name ""Mary"" time.n.08 EQU now date.v.01 Agent -3 Time -1"												
p01/d2612	Tom has been living in Boston for three years. 	"male.n.02 Name ""Tom"" time.n.08 TPR now live.v.01 Theme -2 Time -1 Location +1 Duration +3 city.n.01 Name ""Boston"" quantity.n.01 EQU 3 year.n.01 Quantity -1"												
p99/d0877	"""The Old Man and the Sea"" is a novel by Hemingway. "	"book.n.01 Name ""The Old Man and the Sea"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now novel.n.01 Creator +1 male.n.02 Name ""Hemingway"""												
p13/d0003	A boy is spanking a man with a toy weapon 	boy.n.01 time.n.08 EQU now spank.v.01 Agent -2 Time -1 Patient +1 Instrument +2 man.n.01 toy.n.01 APX +1 weapon.n.01												
p09/d3007	I returned the books I borrowed from the library, and I borrowed some new ones. 	person.n.01 EQU speaker return.v.02 Agent -1 Time +1 Theme +2 time.n.08 TPR now book.n.02 person.n.01 EQU speaker borrow.v.01 Theme -2 Agent -1 Time +1 Source +2 time.n.08 TPR now library.n.01 CONTINUATION <1 person.n.01 EQU speaker borrow.v.01 Agent -1 Time +1 Theme +3 time.n.08 TPR now new.a.05 AttributeOf +1 book.n.02												
p00/d0780	The astronauts went up to the moon in a rocket. 	person.n.01 Role +1 astronaut.n.01 go_up.v.07 Theme -2 Time +1 Destination +2 Instrument +3 time.n.08 TPR now moon.n.01 rocket.n.01												
p11/d2575	Filiberto is a man who is more than forty years old. 	"male.n.02 Name ""Filiberto"" be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now man.n.01 time.n.08 EQU now quantity.n.01 MOR +1 quantity.n.01 EQU 40 year.n.01 Quantity -2 old.a.01 AttributeOf -5 Time -4 Value -1"												
p70/d1191	The company and its marketing department are based in Bombay. 	"company.n.01 entity.n.01 Sub -1 Sub +3 entity.n.01 ANA -2 marketing.n.02 department.n.01 PartOf -2 Theme -1 time.n.08 EQU now based.a.02 Theme -5 Time -1 Location +1 city.n.01 Name ""Bombay"""												
p30/d3026	It took me five hours to make this kennel. 	time.n.08 TPR now person.n.01 EQU speaker quantity.n.01 EQU 5 hour.n.01 Quantity -1 make.v.06 Time -4 Agent -3 Duration -1 Product +1 kennel.n.01												
p01/d3278	Liu Bei and Zhuge Liang are an unbeatable team. 	"male.n.02 Name ""Liu Bei"" entity.n.01 Sub -1 Sub +1 male.n.02 Name ""Zhuge Liang"" be.v.01 Theme -2 Time +1 Co-Theme +3 time.n.08 EQU now unbeatable.a.01 AttributeOf +1 team.n.01"												
p76/d1706	A young girl is chased by an old man. 	young.a.01 Value + girl.n.01 Attribute -1 time.n.08 EQU now chase.v.02 Theme -2 Time -1 Agent +2 old.a.01 Value + man.n.01 Attribute -1												
p98/d3222	All of a sudden, I saw a hare running across the field. 	all_of_a_sudden.r.02 person.n.01 EQU speaker see.v.01 Manner -2 Experiencer -1 Time +1 Stimulus +2 time.n.08 TPR now hare.n.01 run.v.01 Theme -1 Path +1 field.n.01												
p01/d0875	When I entered the room, she was playing the piano. 	person.n.01 EQU speaker enter.v.01 Theme -1 Time +1 Destination +2 time.n.08 TPR now room.n.01 CONTINUATION <1 female.n.02 time.n.08 TPR now play.v.03 Agent -2 Time -1 Theme +1 piano.n.01												
p29/d2669	That sister of yours is always complaining of her husband. 	NEGATION <1 time.n.08 NEGATION <1 person.n.01 Role +1 sister.n.01 Of +1 entity.n.01 User +1 person.n.01 EQU hearer time.n.08 EQU now complain.v.01 Agent -5 Time -1 Theme +2 female.n.02 ANA -6 person.n.01 Role +1 husband.n.01 Of -2												
p22/d2839	You can buy it for a thousand yen or so. 	person.n.01 EQU hearer POSSIBILITY <1 buy.v.01 Agent -1 Theme +1 Asset +2 entity.n.01 yen.n.02 Quantity +1 quantity.n.01 APX 1000												
p13/d3174	The soup is so hot I can't drink it. 	soup.n.01 time.n.08 EQU now hot.a.01 Time -1 Value + AttributeOf -2 RESULT <1 person.n.01 EQU speaker NEGATION <1 POSSIBILITY <1 drink.v.01 Agent -1 Patient +1 entity.n.01 ANA -5												
p26/d0712	Leloir won the Premio de la Sociedad Científica Argentina.	"male.n.02 Name ""Leloir"" win.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now award.n.02 Name ""Premio de la Sociedad Científica Argentina"""												
p72/d2409	The government has imposed a new tax on wine. 	government.n.01 impose.v.03 Agent -1 Theme +2 new.a.01 AttributeOf +1 tax.n.01 Theme +1 wine.n.01												
p21/d2242	The exam was two and a half hours long. 	exam.n.01 time.n.08 TPR now quantity.n.01 EQU 2.5 hour.n.01 Quantity -1 long.a.01 Theme -4 Time -3 Value -1												
p00/d2092	Tom was sitting on the edge of the desk playing his ukulele. 	"male.n.02 Name ""Tom"" time.n.08 TPR now time.n.08 TPR now sit.v.01 Theme -3 Time -2 Location +1 edge.n.01 PartOf +1 desk.n.01 play.v.07 Agent -6 Time -4 Theme +2 male.n.02 ANA -7 ukulele.n.01 User -1"												
p42/d0008	A duck with brown feathers and a green head is flapping its wings in the water 	duck.n.01 Part +2 brown.a.01 feather.n.01 Colour -1 entity.n.01 Sub -3 Sub +2 green.a.01 head.n.01 Colour -1 time.n.08 EQU now flap.v.03 Agent -4 Time -1 Patient +2 Location +3 entity.n.01 ANA -8 wing.n.01 PartOf -1 water.n.02												
p60/d0794	The union of Scotland and England took place in 1706. 	"union.n.07 Theme +1 state.n.04 Name ""Scotland"" entity.n.01 Sub -2 Sub +1 state.n.04 Name ""England"" take_place.v.01 Theme -2 Time +1 EQU +2 Time +3 time.n.08 TPR now entity.n.01 time.n.08 YearOfCentury 1706"												
p21/d2118	My uncle brought a new TV set for us. 	person.n.01 EQU speaker person.n.01 Role +1 uncle.n.01 Of -2 bring.v.01 Agent -2 Time +1 Theme +3 Destination +4 time.n.08 TPR now new.a.05 AttributeOf +1 tv_set.n.01 person.n.01 Sub speaker												
p89/d1623	Tom played the oboe and Mary accompanied him on the piano. 	"male.n.02 Name ""Tom"" play.v.03 Agent -1 Time +1 Theme +2 time.n.08 TPR now oboe.n.01 CONTINUATION <1 female.n.02 Name ""Mary"" accompany.v.03 Agent -1 Time +1 Theme +2 Instrument +3 time.n.08 TPR now male.n.02 ANA -7 piano.n.01"												
p18/d2246	Mumbai is the capital of the Indian state of Maharashtra. 	"city.n.01 Name ""Mumbai"" be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now state_capital.n.01 PartOf +2 country.n.02 Name ""India"" state.n.01 PartOf -1 EQU +1 state.n.01 Name ""Maharashtra"""												
p61/d3169	The young nurse fell in love with a patient. 	young.a.01 Value + person.n.01 Attribute -1 Role +1 nurse.n.01 fall.v.03 Patient -2 Time +1 Result +2 time.n.08 TPR now in_love.a.01 Experiencer -4 Stimulus +1 person.n.01 Role +1 patient.n.01												
p36/d1389	Which Iraqi nuclear expert disappeared in Athens, the Greek capital? 	"country.n.02 Name ""Iraq"" nuclear.a.02 AttributeOf +2 person.n.01 Name ? Source -2 Role +1 expert.n.01 disappear.v.01 Patient -2 Time +1 Location +2 time.n.08 TPR now city.n.01 Name ""Athens"" EQU +2 country.n.02 Name ""Greece"" national_capital.n.01 PartOf -1"												
p84/d0792	The author translated the fairy tale into our mother tongue. 	person.n.01 Role +1 author.n.01 translate.v.01 Agent -2 Time +1 Theme +2 Destination +4 time.n.08 TPR now fairy_tale.n.01 person.n.01 Sub speaker mother_tongue.n.01 Creator -1												
p24/d2741	I think Tom is too old to be dating my daughter. 	"person.n.01 EQU speaker think.v.01 Proposition >1 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name ""Tom"" time.n.08 EQU now old.a.01 AttributeOf -2 Time -1 NEGATION <1 POSSIBILITY <1 time.n.08 EQU now date.v.01 Agent -4 Time -1 Co-Agent +2 person.n.01 EQU speaker person.n.01 Role +1 daughter.n.01 Of -2"												
p21/d1845	The water's leaking from the elbow of the pipe. 	water.n.01 time.n.08 EQU now leak.v.03 Theme -2 Time -1 Source +1 elbow.n.03 PartOf +1 pipe.n.02												
p19/d2841	I haven't decided yet whether I will attend the party. 	person.n.01 EQU speaker NEGATION <1 decide.v.01 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 person.n.01 EQU speaker time.n.08 TSU now attend.v.01 Agent -2 Time -1 Theme +1 party.n.04												
p89/d1260	Today, Stich won 6:3, 6:4 and 6:2 over Marc Rosset from Switzerland. 	"time.n.08 TIN +2 day.n.03 TCT now day.n.03 EQU -1 male.n.02 Name ""Stich"" win.v.01 Time -4 Agent -1 Time +1 Extent +4 Co-Agent +6 time.n.08 TPR now score.n.03 Value 6-3 score.n.03 Value 6-4 entity.n.01 Sub -2 Sub -1 Sub +1 score.n.03 Value 6-2 male.n.02 Name ""Marc Rosset"" Source +1 country.n.02 Name ""Switzerland"""												
p76/d3161	When we landed, we saw our friend on the pier. 	person.n.01 Sub speaker land.v.06 Theme -1 Time +1 time.n.08 TPR now CONTINUATION <1 person.n.01 Sub speaker see.v.01 Experiencer -1 Time +1 Stimulus +3 time.n.08 TPR now person.n.01 Sub speaker person.n.01 Role +1 friend.n.01 Of -2 Location +1 pier.n.01												
